2023-05-08 10:00:01.399 [restartedMain] INFO  c.z.springbootlogback.SpringbootLogbackApplication - Starting SpringbootLogbackApplication using Java 1.8.0_91 on 小米粥 with PID 27296 (D:\workspace\develop\JavaTools\springboot-logback\target\classes started by 15153 in D:\workspace\develop\JavaTools)
2023-05-08 10:00:01.401 [restartedMain] INFO  c.z.springbootlogback.SpringbootLogbackApplication - The following 1 profile is active: "dev"
2023-05-08 10:00:01.462 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-08 10:00:01.462 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-08 10:00:02.607 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
2023-05-08 10:00:02.618 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
2023-05-08 10:00:02.619 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-08 10:00:02.619 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.70]
2023-05-08 10:00:02.678 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-08 10:00:02.679 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1215 ms
2023-05-08 10:00:02.984 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-08 10:00:02.998 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
2023-05-08 10:00:03.013 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path ''
2023-05-08 10:00:03.023 [restartedMain] INFO  c.z.springbootlogback.SpringbootLogbackApplication - Started SpringbootLogbackApplication in 2.371 seconds (JVM running for 4.039)
2023-05-08 10:30:20.824 [http-nio-8086-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-08 10:30:20.824 [http-nio-8086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-08 10:30:20.825 [http-nio-8086-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-08 10:30:20.848 [http-nio-8086-exec-1] INFO  c.z.springbootlogback.controller.TestController - 日志收集测试
