2023-05-08 10:37:12.189 [restartedMain] INFO  c.z.springbootlogback.SpringbootLogbackApplication - Starting SpringbootLogbackApplication using Java 1.8.0_91 on 小米粥 with PID 32456 (D:\workspace\develop\JavaTools\springboot-logback\target\classes started by 15153 in D:\workspace\develop\JavaTools)
2023-05-08 10:37:12.191 [restartedMain] INFO  c.z.springbootlogback.SpringbootLogbackApplication - The following 1 profile is active: "dev"
2023-05-08 10:37:12.235 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-05-08 10:37:12.235 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-05-08 10:37:13.024 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8086 (http)
2023-05-08 10:37:13.031 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8086"]
2023-05-08 10:37:13.032 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-08 10:37:13.032 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.70]
2023-05-08 10:37:13.075 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-08 10:37:13.076 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 840 ms
2023-05-08 10:37:13.324 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-05-08 10:37:13.334 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8086"]
2023-05-08 10:37:13.347 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8086 (http) with context path ''
